path,type,enum,minimum,maximum
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Parents","integer","",0,25000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.HlthInsPremParents","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DParentsHIDtls.Sch80DInsDtls[].HealthInsAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DParentsHIDtls.TotalPayments","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.PrevHlthChckUpParents","integer","",0,5000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.ParentsSeniorCitizen","integer","",0,50000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.HlthInsPremParentsSrCtzn","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DParentsSrCtznHIDtls.Sch80DInsDtls[].HealthInsAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.Sec80DParentsSrCtznHIDtls.TotalPayments","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.PrevHlthChckUpParentsSrCtzn","integer","",0,5000
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.MedicalExpParentsSrCtzn","integer","",0,99999999999999
"ITR.ITR1.Schedule80D.Sec80DSelfFamSrCtznHealth.EligibleAmountOfDedn","integer","",0,100000
"ITR.ITR1.Schedule80DD.DeductionAmount","integer","",0,99999999999999
"ITR.ITR1.Schedule80U.DeductionAmount","integer","",0,99999999999999
"ITR.ITR1.Schedule80E.Schedule80EDtls[].LoanTknFrom","string","[\"B\", \"I\"]",null,null
"ITR.ITR1.Schedule80E.Schedule80EDtls[].TotalLoanAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80E.Schedule80EDtls[].LoanOutstndngAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80E.Schedule80EDtls[].Interest80E","integer","",0,99999999999999
"ITR.ITR1.Schedule80E.TotalInterest80E","integer","",0,99999999999999
"ITR.ITR1.Schedule80EE.Schedule80EEDtls[].LoanTknFrom","string","[\"B\", \"I\"]",null,null
"ITR.ITR1.Schedule80EE.Schedule80EEDtls[].TotalLoanAmt","integer","",0,3500000
"ITR.ITR1.Schedule80EE.Schedule80EEDtls[].LoanOutstndngAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80EE.Schedule80EEDtls[].Interest80EE","integer","",0,99999999999999
"ITR.ITR1.Schedule80EE.TotalInterest80EE","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEA.PropStmpDtyVal","integer","",0,4500000
"ITR.ITR1.Schedule80EEA.Schedule80EEADtls[].LoanTknFrom","string","[\"B\", \"I\"]",null,null
"ITR.ITR1.Schedule80EEA.Schedule80EEADtls[].TotalLoanAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEA.Schedule80EEADtls[].LoanOutstndngAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEA.Schedule80EEADtls[].Interest80EEA","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEA.TotalInterest80EEA","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEB.Schedule80EEBDtls[].LoanTknFrom","string","[\"B\", \"I\"]",null,null
"ITR.ITR1.Schedule80EEB.Schedule80EEBDtls[].TotalLoanAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEB.Schedule80EEBDtls[].LoanOutstndngAmt","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEB.Schedule80EEBDtls[].Interest80EEB","integer","",0,99999999999999
"ITR.ITR1.Schedule80EEB.TotalInterest80EEB","integer","",0,99999999999999
"ITR.ITR1.Schedule80C.Schedule80CDtls[].Amount","integer","",0,99999999999999
"ITR.ITR1.Schedule80C.TotalAmt","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.Placeofwork","string","[\"1\", \"2\"]",null,null
"ITR.ITR1.ScheduleEA10_13A.ActlHRARecv","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.ActlRentPaid","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.DtlsSalUsSec171","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.BasicSalary","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.DearnessAllwnc","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.ActlRentPaid10Per","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.Sal40Or50Per","integer","",0,99999999999999
"ITR.ITR1.ScheduleEA10_13A.EligbleExmpAllwncUs13A","integer","",0,99999999999999
"ITR.ITR1.TDSonSalaries.TDSonSalary[].IncChrgSal","integer","",0,99999999999999
"ITR.ITR1.TDSonSalaries.TDSonSalary[].TotalTDSSal","integer","",0,99999999999999
"ITR.ITR1.TDSonSalaries.TotalTDSonSalaries","integer","",0,99999999999999
"ITR.ITR1.TDSonOthThanSals.TDSonOthThanSal[].AmtForTaxDeduct","integer","",0,99999999999999
"ITR.ITR1.TDSonOthThanSals.TDSonOthThanSal[].TotTDSOnAmtPaid","integer","",0,99999999999999
"ITR.ITR1.TDSonOthThanSals.TDSonOthThanSal[].ClaimOutOfTotTDSOnAmtPaid","integer","",0,99999999999999
"ITR.ITR1.TDSonOthThanSals.TotalTDSonOthThanSals","integer","",0,99999999999999
